<org.opsli.plugins.email.service.EmailPluginImpl: cn.hutool.extra.mail.MailAccount getMailAccount(org.opsli.plugins.email.conf.EmailConfig)>-><cn.hutool.extra.mail.MailAccount: cn.hutool.extra.mail.MailAccount setAuth(boolean)>
<org.opsli.modulars.system.menu.entity.SysMenu: int hashCode()>-><org.opsli.modulars.system.menu.entity.SysMenu: java.lang.String getIcon()>
<java.util.concurrent.ConcurrentHashMap: java.lang.Object replaceNode(java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictModel: int hashCode()>
<org.opsli.api.wrapper.system.logs.LogsModel: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.logs.LogsModel: java.lang.String getParams()>
<org.opsli.api.wrapper.system.user.UserModel: int hashCode()>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String getEnable()>
<com.alibaba.fastjson.serializer.SerializeFilterable: java.lang.Object processValue(com.alibaba.fastjson.serializer.JSONSerializer,com.alibaba.fastjson.serializer.BeanContext,java.lang.Object,java.lang.String,java.lang.Object,int)>-><org.opsli.api.wrapper.system.role.RoleModel: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.apache.poi.ss.formula.ptg.Ref2DPtgBase: java.lang.String toString()>
<java.util.Hashtable: java.lang.Object put(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.tenant.TenantModel: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.apache.poi.hssf.record.MMSRecord: java.lang.String toString()>
<reactor.util.context.Context3: boolean hasKey(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateDetailModel: boolean equals(java.lang.Object)>
<cn.hutool.json.serialize.JSONWriter: cn.hutool.json.serialize.JSONWriter writeObjValue(java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String toString()>
<org.opsli.api.wrapper.system.user.UserModel: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String getTenantId()>
<org.opsli.core.utils.SystemInfoUtil: org.opsli.core.utils.SystemInfoUtil$JvmInfo getJvmInfo()>-><cn.hutool.system.SystemUtil: cn.hutool.system.JavaInfo getJavaInfo()>
<cn.hutool.core.convert.AbstractConverter: java.lang.String convertToStr(java.lang.Object)>-><org.opsli.api.wrapper.system.tenant.TenantModel: java.lang.String toString()>
<org.springframework.boot.convert.CharSequenceToObjectConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String toString()>
<java.util.TreeMap: boolean valEquals(java.lang.Object,java.lang.Object)>-><org.opsli.core.options.EmailConfigFactory$EmailConfigOption: boolean equals(java.lang.Object)>
